NAME,state,district,geoid,total_returns,eitc_returns,eitc_participation_rate,federal_eitc_avg_amount,federal_eitc_total_amount,state_eitc_avg_amount,state_eitc_total_amount,ctc_returns,ctc_participation_rate,ctc_avg_amount,ctc_total_amount,total_population
State Senate District 01; Hawaii; Hawaii,15,1,1501,51294.70228432723,8393.072528283124,0.1636245490179514,2405.90436559937,20192929.836588513,962.3617462397481,8077171.934635405,6094.619702686997,0.11881577299941108,1055.8020312863791,6434711.862014919,352093
State Senate District 12; Hawaii; Hawaii,15,12,1512,59263.150826269695,5732.482596206339,0.09672929157970604,1671.036776594196,9579189.239446968,668.4147106376785,3831675.695778787,2731.0370650739073,0.04608322417888242,1448.6093322237596,3956205.779115049,394674
State Senate District 13; Hawaii; Hawaii,15,13,1513,54088.50583928939,7731.457516291901,0.14294085954720237,2188.9663202880843,16923900.109901134,875.5865281152337,6769560.043960454,4456.94661188682,0.0824009933853513,1362.4672022554912,6072443.580899526,388129
State Senate District 14; Hawaii; Hawaii,15,14,1514,50338.839267951465,9052.566473716082,0.17983264225719753,2483.3234124793175,22480450.267204486,993.3293649917271,8992180.106881795,6413.968909146336,0.12741590792360263,1230.8599268753617,7894697.302492702,404572
State Senate District 15; Hawaii; Hawaii,15,15,1515,65147.96729035706,8443.24057525849,0.12960098260054576,2191.7336741794347,18505334.687992174,876.693469671774,7402133.87519687,7490.459908801014,0.11497611084958166,835.7166707778301,6259902.217577992,532819
State Senate District 16; Hawaii; Hawaii,15,16,1516,55460.60944311751,4950.864748641498,0.08926812738542464,2165.042907751505,10718834.611283215,866.017163100602,4287533.844513286,3630.851905174811,0.06546721973725783,1014.7215318041063,3684303.606972842,400603
State Senate District 17; Hawaii; Hawaii,15,17,1517,52795.356019090075,5849.138433076066,0.11078888133572008,2282.4615839622984,13350433.772773553,912.9846335849194,5340173.509109422,5219.016426204729,0.098853702668803,851.9246710548923,4446208.852124544,407946
State Senate District 18; Hawaii; Hawaii,15,18,1518,50430.86076884473,5549.789753370346,0.11004749212606947,2230.6273180757994,12379512.633445049,892.2509272303198,4951805.0533780195,4236.563573166114,0.08400736193230686,1083.6974717933276,4591153.233331825,377958
State Senate District 19; Hawaii; Hawaii,15,19,1519,52093.0472887088,6250.235095525895,0.11998213621265034,2278.3579045403994,14240272.535127243,911.3431618161599,5696109.014050897,4810.616181619434,0.09234660731130118,1063.0894134746309,5114115.134969373,392119
State Senate District 20; Hawaii; Hawaii,15,20,1520,55891.41052211041,6804.836575195384,0.12175102599179205,2336.4044943820227,15898850.757821666,934.5617977528091,6359540.303128667,6009.664660790531,0.10752393980848153,857.2519083969466,5151796.499288372,428694
State Senate District 21; Hawaii; Hawaii,15,21,1521,52250.04916201819,5832.1241444241305,0.11161949582745351,2277.78517893415,13284325.937873295,911.11407157366,5313730.375149318,4955.033068046577,0.09483307953800948,898.2649085928969,4450932.3259436395,416402
State Senate District 22; Hawaii; Hawaii,15,22,1522,39369.513327819834,8940.328265156817,0.2270875992474938,2594.7152206648652,23197605.827342704,1037.8860882659462,9279042.330937082,7240.815573509765,0.1839193569200958,907.3686517063413,6570089.0641898345,372456
State Senate District 23; Hawaii; Hawaii,15,23,1523,62869.06593748428,8982.694947951182,0.14287940840227198,2134.7164699334044,19175506.849778973,853.8865879733618,7670202.73991159,6897.01725886542,0.10970446524088133,876.9460215191561,6048311.845510987,512316
State Senate District 24; Hawaii; Hawaii,15,24,1524,58909.790695284966,4634.245616500906,0.07866681517291188,2009.0152584711975,9310270.155053582,803.606103388479,3724108.062021433,3670.772786076432,0.062311760791406684,832.4467496205153,3055722.874364769,440895
State Senate District 25; Hawaii; Hawaii,15,25,1525,50503.662452286946,3951.1035394421965,0.07823400022077566,2040.9328327711626,8063936.939325929,816.373133108465,3225574.7757303715,3069.8314292525497,0.06078433286205245,892.9251645009333,2741129.733955468,384097
