code,name,address,city,zip,phone,fax,principal,grade_from,grade_to,type,website,complex,complex_area,district,island,charter
252,Campbell High School,91-980 North Road,Ewa Beach,96706,808.305.3600,808.689.1255,Jonhenry Lee,9,12,High School,http://www.campbellhigh.org/,Campbell,Campbell-Kapolei,Leeward,Oahu,FALSE
301,Castle High School,45-386 Kaneohe Bay Drive,Kaneohe,96744,808.305.0700,808.233.5623,Bernadette Tyrell,9,12,High School,http://www.castlehs.k12.hi.us/,Castle,Castle-Kahuku,Windward,Oahu,FALSE
351,DeSilva Elem School,278 Ainako Avenue,Hilo,96720,808.974.4855,808.974.4858,Dennis O'Brien,K,6,Elementary,http://www.ebdesilva.org/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,FALSE
105,Dole Middle School,1803 Kamehameha IV Road,Honolulu,96819,808.305.5300,808.832.3349,Mavis Tasaka,6,8,Middle / Inter,https://www.dolemiddleschool.org/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
451,Eleele Elem School,4750 Uliuli Road,Eleele,96705,808.335.2111,808.335.8415,Allison Carveiro,PreK,5,Elementary,http://www.eleeleschool.k12.hi.us/,Waimea,Kapaa-Kauai-Waimea,Kauai,Kauai,FALSE
302,Enchanted Lake Elem School,770 Keolu Drive,Kailua,96734,808.266.7800,808.266.7804,Noel Richardson,K,6,Elementary,https://www.enchantedlakeelementary.org/,Kailua,Kailua-Kalaheo,Windward,Oahu,FALSE
254,Ewa Beach Elem School,91-740 Papipi Road,Ewa Beach,96706,808.307.2300,808.689.1275,Jay Lin,K,5,Elementary,http://www.ewabeachelementary.org/,Campbell,Campbell-Kapolei,Leeward,Oahu,FALSE
253,Ewa Elem School,91-1280 Renton Road,Ewa Beach,96706,808.307.8200,808.681.8206,Stanley Tamashiro,K,5,Elementary,https://www.ewa.k12.hi.us/,Campbell,Campbell-Kapolei,Leeward,Oahu,FALSE
296,Ewa Makai Middle School,91-6291 Kapolei Parkway,Ewa Beach,96706,808.687.9500,808.685.2052,Corey Barton,6,8,Middle / Inter,http://www.ewamakai.org/,Campbell,Campbell-Kapolei,Leeward,Oahu,FALSE
106,Farrington High School,1564 North King Street,Honolulu,96817,808.305.5000,808.832.3587,Alfredo Carganilla,9,12,High School,http://farringtonhighschool.org,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
107,Fern Elem School,1121 Middle Street,Honolulu,96819,808.305.5400,808.832.3043,Glen Miyasato,PreK,5,Elementary,http://www.fernschool.k12.hi.us/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
352,Haaheo Elem School,121 Haaheo Road,Hilo,96720,808.974.4111,808.974.4112,Jennifer Sueoka,K,6,Elementary,http://www.haaheo.org/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,FALSE
108,Hahaione Elem School,595 Pepeekeo Street,Honolulu,96825,808.305.7000,808.397.5827,Shannon Goo,PreK,5,Elementary,https://www.hahaionees.k12.hi.us/,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
401,Haiku Elem School,105 Pauwela Road,Haiku,96708,808.575.3000,808.575.3003,Sarah Romano Saget,PreK,5,Elementary,https://www.haikuschoolriders.org/,Kekaulike,Baldwin-Kekaulike-Kulanihakoi-Maui,Maui,Maui,FALSE
206,Haleiwa Elem School,66-505 Haleiwa Road,Haleiwa,96712,808.637.8237,808.637.8240,Malaea Wetzel,PreK,6,Elementary,https://www.haleiwaelementary.com/,Waialua,Leilehua-Mililani-Waialua,Central,Oahu,FALSE
402,Hana High & Elem School,4111 Hana Highway,Hana,96713,808.248.4815,808.248.4819,Christopher Sanita,PreK,12,K - 12,http://www.hanak12school.org/,Hana,Hana-Lahainaluna-Lanai-Molokai,Maui,Maui,FALSE
452,Hanalei Elem School,5-5415 Kuhio Highway,Hanalei,96714,808.826.4300,808.826.4302,Deena Tiare Fontana  Moraes,K,6,Elementary,http://www.hanalei.k12.hi.us/,Kapaa,Kapaa-Kauai-Waimea,Kauai,Kauai,FALSE
303,Hauula Elem School,54-046 Kamehameha Highway,Hauula,96717,808.305.2100,808.293.8927,Uilani Kaitoku,K,6,Elementary,https://www.hauulaelementary.com/,Kahuku,Castle-Kahuku,Windward,Oahu,FALSE
304,Heeia Elem School,46-202 Haiku Road,Kaneohe,96744,808.307.1500,808.233.5679,Danny Garcia,K,6,Elementary,https://www.heeiahawks.org/,Castle,Castle-Kahuku,Windward,Oahu,FALSE
208,Helemano Elem School,1001 Ihi Ihi Avenue,Wahiawa,96786,808.307.3500,808.622.6340,John Walje,K,5,Elementary,https://www.helemano.k12.hi.us/,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,FALSE
470,HI School for the Deaf & Blind,3440 Leahi Avenue,Honolulu,96815,808.733.4999,808.733.4824,Angel Ramos,K,12,K - 12,http://www.hsdb.k12.hi.us/,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
209,Hickam Elem School,Manzelman Circle,Honolulu,96818,808.307.4600,808.421.4157,Patrick Wetzel,K,6,Elementary,http://www.hickam.k12.hi.us/,Radford,Aiea-Moanalua-Radford,Central,Oahu,FALSE
255,Highlands Inter School,1460 Hoolaulea Street,Pearl City,96782,808.307.5000,808.453.6484,Lance Tanouye,7,8,Middle / Inter,http://www.highlands.k12.hi.us/,Pearl City,Pearl City-Waipahu,Leeward,Oahu,FALSE
355,Hilo High School,556 Waianuenue Avenue,Hilo,96720,808.313.5500,808.974.4036,Adrian De Mello,9,12,High School,http://www.hilohs.k12.hi.us,Hilo,Hilo-Waiakea,Hawaii,Hawaii,FALSE
356,Hilo Inter School,587 Waianuenue Avenue,Hilo,96720,808.313.5300,808.974.6184,Travis Toriano,7,8,Middle / Inter,https://hilointermediate.k12.hi.us/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,FALSE
357,Hilo Union Elem School,506 Waianuenue Avenue,Hilo,96720,808.933.0900,808.933.0905,Bryan Arbles,PreK,6,Elementary,https://www.hilounionschool.org/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,FALSE
109,Hokulani Elem School,2940 Kamakini Street,Honolulu,96816,808.733.4789,808.733.4792,Ervin Pasalo,K,5,Elementary,http://www.hokulani-elementary.com/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,FALSE
280,Holomua Elem School,91-1561 Keaunui Drive,Ewa Beach,96706,808.685.9100,808.685.2003,Christopher Bonilla,K,6,Elementary,http://holomua.hidoe.us,Campbell,Campbell-Kapolei,Leeward,Oahu,FALSE
358,Holualoa Elem School,76-5957 Mamalahoa Highway,Holualoa,96725,808.313.3800,808.322.4801,Kristin Muramoto-Brown,K,5,Elementary,https://holualoaelementary.k12.hi.us,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,FALSE
359,Honaunau Elem School,83-5360 Mamalahoa Highway,Captain Cook,96704,808.328.2727,808.328.2729,Noreen Kunitomo,PreK,5,Elementary,https://honaunauelementary.k12.hi.us/,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,FALSE
361,Honokaa Elem School,45-534 Pakalana Street,Honokaa,96727,808.775.8820,808.775.8828,Nathan Atkins,PreK,6,Elementary,http://www.honokaael.k12.hi.us/,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,FALSE
360,Honokaa High & Inter School,45-527 Pakalana Street,Honokaa,96727,808.775.8800,808.775.8803,Erika Blanco,7,12,Middle - High,https://honokaahighinter.k12.hi.us/,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,FALSE
297,Honouliuli Middle School,91-559 Maunakapu Street,Ewa Beach,96706,808.307.7800,808.692.9000,Todd Fujimori,6,8,Middle / Inter,https://www.honouliuli.k12.hi.us/,Kapolei,Campbell-Kapolei,Leeward,Oahu,FALSE
276,Honowai Elem School,94-600 Honowai Street,Waipahu,96797,808.307.7100,808.675.0167,Stacy Kawamura,PreK,6,Elementary,http://honowai.org/,Waipahu,Pearl City-Waipahu,Leeward,Oahu,FALSE
293,Hookele Elem School,511 Kunehi Street,Kapolei,96707,808.305.8500,808.674.8590,Bryan Rankie,K,5,Elementary,http://hookele.hidoe.us/,Kapolei,Campbell-Kapolei,Leeward,Oahu,FALSE
363,Hookena Elem School,86-4355 Mamalahoa Highway,Captain Cook,96704,808.328.2710,808.328.2712,Glenn Gray,PreK,5,Elementary,http://hookenael.k12.hi.us/,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,FALSE
404,Iao Inter School,260 South Market Street,Wailuku,96793,808.727.5200,808.984.5617,Matthew Dillon,6,8,Middle / Inter,https://www.iaoschool.org/,Baldwin,Baldwin-Kekaulike-Kulanihakoi-Maui,Maui,Maui,FALSE
210,Iliahi Elem School,2035 California Avenue,Wahiawa,96786,808.622.6411,808.622.6413,Garett Yukumoto,PreK,5,Elementary,https://www.iliahiel.k12.hi.us/,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,FALSE
279,Ilima Inter School,91-884 Fort Weaver Road,Ewa Beach,96706,808.687.9300,808.689.1258,Shayne Greenland,7,8,Middle / Inter,http://ilimaintermediate.k12.hi.us/,Campbell,Campbell-Kapolei,Leeward,Oahu,FALSE
207,Inouye Elem School,1 Ayres Avenue,Wahiawa,96786,808.305.3400,808.622.6382,Shelley Rivers,K,5,Elementary,https://www.dkies.org,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,FALSE
256,Iroquois Point Elem School,5553 Cormorant Avenue,Ewa Beach,96706,808.499.6500,808.499.6508,Melody Habon,K,6,Elementary,http://iroquois.k12.hi.us/,Campbell,Campbell-Kapolei,Leeward,Oahu,FALSE
110,Jarrett Middle School,1903 Palolo Avenue,Honolulu,96816,808.733.4888,808.733.4894,Reid Kuba,6,8,Middle / Inter,http://www.jmshi.org,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,FALSE
111,Jefferson Elem School,324 Kapahulu Avenue,Honolulu,96815,808.971.6922,808.971.6915,Garret Zakahi,K,5,Elementary,http://jeffersonsurfers.k12.hi.us/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,FALSE
305,Kaaawa Elem School,51-296 Kamehameha Highway,Kaaawa,96730,808.305.6650,808.237.7755,Jennifer Luke Payne,K,6,Elementary,https://www.kaaawaschool.k12.hi.us/,Kahuku,Castle-Kahuku,Windward,Oahu,FALSE
112,Kaahumanu Elem School,1141 Kinau Street,Honolulu,96814,808.587.4414,808.587.4415,Tanya Hall,K,5,Elementary,http://www.qkes.us/,McKinley,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,FALSE
211,Kaala Elem School,130 California Avenue,Wahiawa,96786,808.305.3900,808.622.6368,Leighton Nakamoto,PreK,5,Elementary,http://www.kaala.k12.hi.us/,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,FALSE
330,Kaelepulu Elem School,530 Keolu Drive,Kailua,96734,808.807.0800,808.266.7813,Chanda Rowley,K,6,Elementary,https://www.kaelepulu.k12.hi.us,Kailua,Kailua-Kalaheo,Windward,Oahu,FALSE
113,Kaewai Elem School,1929 Kamehameha IV Road,Honolulu,96819,808.832.3500,808.832.3509,Michiyo Uchida,PreK,5,Elementary,https://www.kaewaielementary.org/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
371,Kahakai Elem School,76-147 Royal Poinciana Drive,Kailua-Kona,96740,808.313.6200,808.327.4333,Barbra Kaimuloa Bates,PreK,5,Elementary,https://www.kahakaischool.k12.hi.us/,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,FALSE
114,Kahala Elem School,4559 Kilauea Avenue,Honolulu,96816,808.307.8900,808.733.4669,Sarene Oda,PreK,5,Elementary,https://www.kes.k12.hi.us/,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
306,Kahaluu Elem School,47-280 Waihee Road,Kaneohe,96744,808.305.6300,808.239.3102,Walter Santiago,K,6,Elementary,http://www.kahaluuelementary.com/,Castle,Castle-Kahuku,Windward,Oahu,FALSE
331,Kahuku Elem School,56-170 Pualalea Street,Kahuku,96731,808.305.9400,808.293.8985,Ikaika Plunkett,K,6,Elementary,http://www.kahukuelementary.com/,Kahuku,Castle-Kahuku,Windward,Oahu,FALSE
307,Kahuku High & Inter School,56-490 Kamehameha Highway,Kahuku,96731,808.305.7300,808.293.8960,Patricia Macadangdang,7,12,Middle - High,http://www.kahukuhigh.org/,Kahuku,Castle-Kahuku,Windward,Oahu,FALSE
405,Kahului Elem School,410 South Hina Avenue,Kahului,96732,808.727.4700,808.873.3089,Suzanne Forbes,K,5,Elementary,http://kahuluischool.k12.hi.us/,Maui,Baldwin-Kekaulike-Kulanihakoi-Maui,Maui,Maui,FALSE
308,Kailua Elem School,315 Kuulei Road,Kailua,96734,808.266.7878,808.266.7882,Allyson Doherty,PreK,6,Elementary,https://sites.google.com/k12.hi.us/kailua/home,Kalaheo,Kailua-Kalaheo,Windward,Oahu,FALSE
309,Kailua High School,451 Ulumanu Drive,Kailua,96734,808.266.7900,808.266.7915,Jill La Boy,9,12,High School,https://www.kailuahighschool.com/,Kailua,Kailua-Kalaheo,Windward,Oahu,FALSE
310,Kailua Inter School,145 South Kainalu Drive,Kailua,96734,808.307.1400,808.266.7984,Nathan Maeda,7,8,Middle / Inter,https://kailuainter.k12.hi.us/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,FALSE
281,Kaimiloa Elem School,91-1028 Kaunolu Street,Ewa Beach,96706,808.689.1280,808.689.1284,Angela Pia,K,6,Elementary,http://www.kaimiloa.k12.hi.us/,Campbell,Campbell-Kapolei,Leeward,Oahu,FALSE
115,Kaimuki High School,2705 Kaimuki Avenue,Honolulu,96816,808.733.4900,808.733.4929,Lorelei Aiwohi,9,12,High School,https://www.kaimukihigh.org/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,FALSE
116,Kaimuki Middle School,631 18th Avenue,Honolulu,96816,808.733.4800,808.733.4810,Frank Fernandes,6,8,Middle / Inter,http://www.kaimukimiddle.org/,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
311,Kainalu Elem School,165 Kaiholu Street,Kailua,96734,808.266.7835,808.266.7837,Resha Ramolete,PreK,6,Elementary,https://www.kainalu.org/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,FALSE
154,Kaiser High School,511 Lunalilo Home Road,Honolulu,96825,808.394.1200,808.394.1201,Justin Sung Nam Mew,9,12,High School,http://www.kaiserhighschoolhawaii.org,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
117,Kaiulani Elem School,783 North King Street,Honolulu,96817,808.832.3160,808.832.3164,Bebi Davis,K,5,Elementary,https://sites.google.com/k12.hi.us/kaiulanielementaryschool,McKinley,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,FALSE
453,Kalaheo Elem School,4400 Maka Road,Kalaheo,96741,808.332.6801,808.332.6804,William Godsill,K,5,Elementary,http://www.kalaheoschool.com/,Waimea,Kapaa-Kauai-Waimea,Kauai,Kauai,FALSE
312,Kalaheo High School,730 Iliaina Street,Kailua,96734,808.305.0200,808.254.7907,Kenneth Agcaoili,9,12,High School,http://www.kalaheohigh.org/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,FALSE
118,Kalakaua Middle School,821 Kalihi Street,Honolulu,96819,808.305.4500,808.832.3140,William Grindell,6,8,Middle / Inter,http://www.kalakauamiddle.org/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
420,Kalama Inter School,120 Makani Road,Makawao,96768,808.573.8735,808.573.8748,Tami Marie Haili,6,8,Middle / Inter,https://www.kalama.k12.hi.us/,Kekaulike,Baldwin-Kekaulike-Kulanihakoi-Maui,Maui,Maui,FALSE
119,Kalani High School,4680 Kalanianaole Highway,Honolulu,96821,808.305.0500,808.377.2483,Mitchell Otani,9,12,High School,http://www.kalanihighschool.org/,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
365,Kalanianaole Elem,27-330 Old Mamalahoa Highway,Papaikou,96781,808.964.9700,808.964.9703,David Dinkel,K,6,Elementary,http://kalanianaole-school.weebly.com/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,FALSE
287,Kaleiopuu Elem School,94-665 Kaaholo Street,Waipahu,96797,808.675.0266,808.675.0269,Alika Ahu,K,6,Elementary,http://www.kaleiopuues.k12.hi.us/,Waipahu,Pearl City-Waipahu,Leeward,Oahu,FALSE
120,Kalihi Elem School,2471 Kula Kolea Drive,Honolulu,96819,808.305.2400,808.832.3179,John Hamilton,K,5,Elementary,https://www.kalihielementary.org/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
121,Kalihi-Kai Elem School,626 McNeil Street,Honolulu,96817,808.832.3322,808.832.3327,Marc Kawahara,K,5,Elementary,https://www.kalihikai.k12.hi.us/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
122,Kalihi-Uka Elem School,2411 Kalihi Street,Honolulu,96819,808.305.6200,808.832.3313,Derek Santos,PreK,5,Elementary,https://www.ukaeagles.k12.hi.us/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
123,Kalihi-Waena Elem School,1240 Gulick Avenue,Honolulu,96819,808.305.2300,808.832.3213,Daniel Larkin,K,5,Elementary,https://www.kwes.org/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
448,Kamakahelei Middle School,4431 Nuhou St.,Lihue,96766,808.977.1400,808.241.3210,Wendy Schwarze,6,8,Middle / Inter,http://www.ckms.k12.hi.us,Kauai,Kapaa-Kauai-Waimea,Kauai,Kauai,FALSE
431,Kamalii Elem School,180 Kealii Alanui,Kihei,96753,808.875.6840,808.875.6843,Cynthia Rothdeutsch,K,5,Elementary,https://kamaliischool.org/,Kulanihakoi,Baldwin-Kekaulike-Kulanihakoi-Maui,Maui,Maui,FALSE
406,Kamehameha III Elem School,100 Akahele,Lahaina,96761,808.662.3955,808.662.3958,Michael McCloskey,PreK,5,Elementary,https://www.kkiii.org/,Lahainaluna,Hana-Lahainaluna-Lanai-Molokai,Maui,Maui,FALSE
155,Kamiloiki Elem School,7788 Hawaii Kai Drive,Honolulu,96825,808.305.6100,808.397.5806,Jason Yoshimoto,K,5,Elementary,http://www.kamiloikielementary.org/,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
313,Kaneohe Elem School,45-495 Kamehameha Highway,Kaneohe,96744,808.305.0000,808.233.9185,Derek Minakami,K,6,Elementary,http://www.kaneohe-el.com/,Castle,Castle-Kahuku,Windward,Oahu,FALSE
283,Kanoelani Elem School,94-1091 Oli Loop,Waipahu,96797,808.307.3800,808.675.0135,Neil Blomberg,K,6,Elementary,https://www.kanoelani.org/,Pearl City,Pearl City-Waipahu,Leeward,Oahu,FALSE
454,Kapaa Elem School,4886 Kawaihau Road,Kapaa,96746,808.821.4424,808.821.4431,Salynn Gonsalves,PreK,5,Elementary,http://www.kapaaes.k12.hi.us/,Kapaa,Kapaa-Kauai-Waimea,Kauai,Kauai,FALSE
455,Kapaa High School,4695 Mailihuna Road,Kapaa,96746,808.821.4400,808.821.4420,Thomas Cox,9,12,High School,http://kapaahighschool.net/,Kapaa,Kapaa-Kauai-Waimea,Kauai,Kauai,FALSE
447,Kapaa Middle School,4867 Olohena Road,Kapaa,96746,808.821.4460,808.821.6967,Tara Punzal,6,8,Middle / Inter,http://www.kapaamiddleschool.org/,Kapaa,Kapaa-Kauai-Waimea,Kauai,Kauai,FALSE
124,Kapalama Elem School,1601 North School Street,Honolulu,96817,808.305.5500,808.832.3302,Ronald Oyama,PreK,5,Elementary,https://www.kapalama.k12.hi.us/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,FALSE
367,Kapiolani Elem School,966 Kilauea Avenue,Hilo,96720,808.313.5100,808.974.4161,Kimberly Castillo,PreK,6,Elementary,http://cks.k12.hi.us/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,FALSE
282,Kapolei Elem School,91-1119 Kamaaha Loop,Kapolei,96707,808.305.8700,808.693.7011,Cindy Otsu,K,5,Elementary,http://www.kapoleielementary.org/,Kapolei,Campbell-Kapolei,Leeward,Oahu,FALSE
292,Kapolei High School,91-5007 Kapolei Parkway,Kapolei,96707,808.305.8000,808.692.8255,Wesley Shinkawa,9,12,High School,http://www.kapoleihigh.org/,Kapolei,Campbell-Kapolei,Leeward,Oahu,FALSE
291,Kapolei Middle School,91-5335 Kapolei Parkway,Kapolei,96707,808.693.7025,808.693.7030,Daryl Agena,6,8,Middle / Inter,http://www.kapoleimid.k12.hi.us/,Kapolei,Campbell-Kapolei,Leeward,Oahu,FALSE
315,Kapunahala Elem School,45-828 Anoi Road,Kaneohe,96744,808.233.5650,808.233.5651,Wess Unten,K,6,Elementary,http://www.kapunahala.k12.hi.us/,Castle,Castle-Kahuku,Windward,Oahu,FALSE
368,Kau High & Pahala Elem School,96-3150 Pikake Street,Pahala,96777,808.313.4100,808.928.2092,Sharon Beck,K,12,K - 12,https://www.khpes.org/,Kau,Kau-Keaau-Pahoa,Hawaii,Hawaii,FALSE
456,Kauai High School,3577 Lala Road,Lihue,96766,808.977.9700,808.274.3170,Marlene Leary,9,12,High School,http://www.kauaihigh.org/,Kauai,Kapaa-Kauai-Waimea,Kauai,Kauai,FALSE
125,Kauluwela Elem School,1486 Aala Street,Honolulu,96817,808.587.4447,808.587.4453,Sonja Samsonas,PreK,5,Elementary,https://www.kauluwela.k12.hi.us/,McKinley,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,FALSE
369,Kaumana Elem School,1710 Kaumana Drive,Hilo,96720,808.300.1250,808.974.4197,Dawn Palmerston,K,6,Elementary,https://www.kaumanaelementary.org,Hilo,Hilo-Waiakea,Hawaii,Hawaii,FALSE
457,Kaumualii Elem School,4380 Hanamaulu Road,Lihue,96766,808.241.3150,808.241.3159,Theresa Malone,K,5,Elementary,http://www.kaumualii.k12.hi.us/home.html,Kauai,Kapaa-Kauai-Waimea,Kauai,Kauai,FALSE
407,Kaunakakai Elem School,30 Ailoa,Kaunakakai,96748,808.567.7200,808.553.1737,Daniel Espaniola,PreK,6,Elementary,https://kaunakakaielementary.org/,Molokai,Hana-Lahainaluna-Lanai-Molokai,Maui,Molokai,FALSE
126,Kawananakoa Middle School,49 Funchal Street,Honolulu,96813,808.307.0300,808.587.4443,Dale Arakaki,6,8,Middle / Inter,https://www.kawananakoa.k12.hi.us/,Roosevelt,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,FALSE
378,Ke Kula O Ehunuikaimalino,81-1041 Konawaena School Road,Kealakekua,96750,808.313.3131,808.323.4538,Ramona-Ann Kaehuaea,K,12,K - 12,http://ehunui.org/,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,FALSE
353,Keaau Elem School,16-680 Keaau-Pahoa Road,Keaau,96749,808.313.4600,808.982.4217,Andrew Scott,PreK,5,Elementary,http://keaauelementary.org/,Keaau,Kau-Keaau-Pahoa,Hawaii,Hawaii,FALSE
354,Keaau High School,16-725 Keaau-Pahoa Road,Keaau,96749,808.313.3300,808.982.4224,Dean Cevallos,9,12,High School,https://www.keaauhs.com/,Keaau,Kau-Keaau-Pahoa,Hawaii,Hawaii,FALSE
370,Keaau Middle School,16-565  Keaau-Pahoa Road,Keaau,96749,808.313.4800,808.982.4219,Brandon Tanabe,6,8,Middle / Inter,http://www.keaaumiddle.org/,Keaau,Kau-Keaau-Pahoa,Hawaii,Hawaii,FALSE
388,Kealakehe Elem School,74-5118 Kealakaa Street,Kailua-Kona,96740,808.313.7900,808.327.4347,Wendy Daniel,K,5,Elementary,http://kealakehe.k12.hi.us/,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,FALSE
392,Kealakehe High School,74-5000 Puohulihuli Street,Kailua-Kona,96740,808.313.3600,808.327.4307,Kori Takaki,9,12,High School,http://www.khswaveriders.org/,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,FALSE
